text,sentiment
good,Positive
great,Positive
i love you,Positive
okay,Neutral
it is fine,Neutral
nice,Positive
fedt,Positive
ikke dårligt,Positive
godt,Positive
går,Neutral
skole,Neutral


acclaim,Positive
acclaimed,Positive
acclamation,Positive
accomplishment,Positive
accurate,Positive
accurately,Positive
achievable,Positive
achievement,Positive
achievements,Positive
adjustable,Positive
admirable,Positive
admirably,Positive
admiration,Positive
admire,Positive
admirer,Positive
admiring,Positive
admiringly,Positive
adorable,Positive
adore,Positive
adored,Positive
adorer,Positive
adoring,Positive
adoringly,Positive
appreciatively,Positive
appropriate,Positive
approval,Positive
approve,Positive
assurances,Positive
assure,Positive
assuredly,Positive
astonish,Positive
astonished,Positive
astonishing,Positive
astonishingly,Positive
better,Positive
beutifully,Positive
blameless,Positive
bless,Positive
celebrated,Positive
celebration,Positive
celebratory,Positive
champ,Positive
clearer,Positive
clearly,Positive
clears,Positive
clever,Positive
cleverly,Positive
confidence,Positive
confident,Positive
congenial,Positive
congratulate,Positive
congratulation,Positive
congratulations,Positive
congratulatory,Positive
decency,Positive
decent,Positive
decisive,Positive
decisiveness,Positive
dedicated,Positive
earnestly,Positive
earnestness,Positive
ease,Positive
eased,Positive
eases,Positive
easiest,Positive
easiness,Positive
easing,Positive
easy,Positive
easygoing,Positive
ebullience,Positive
ebullient,Positive
ebulliently,Positive
ecenomical,Positive
economical,Positive
ecstasies,Positive
ecstasy,Positive
ecstatic,Positive
ecstatically,Positive
edify,Positive
effectiveness,Positive
effectual,Positive
efficacious,Positive
efficient,Positive
efficiently,Positive
effortless,Positive
effortlessly,Positive
effusion,Positive
effusive,Positive
effusively,Positive
effusiveness,Positive
elan,Positive
elate,Positive
elated,Positive
elatedly,Positive
electrify,Positive
elegance,Positive
elegant,Positive
elegantly,Positive
elevate,Positive
elite,Positive
eloquence,Positive
eloquent,Positive
eloquently,Positive
embolden,Positive
eminent,Positive
empathize,Positive
empathy,Positive
empower,Positive
empowerment,Positive
enchant,Positive
enchanted,Positive
enchanting,Positive
encourage,Positive
encouragement,Positive
encouraging,Positive
encouragingly,Positive
endear,Positive
endorsed,Positive
endorsement,Positive
endorses,Positive
endorsing,Positive
energetic,Positive
energize,Positive
engaging,Positive
engrossing,Positive
enhance,Positive
enhanced,Positive
enhancement,Positive
enhances,Positive
enjoy,Positive
enjoyable,Positive
enjoyably,Positive
enjoyed,Positive
enjoying,Positive
enjoyment,Positive
enjoys,Positive
enlighten,Positive
enlightenment,Positive
enliven,Positive
ennoble,Positive
enough,Positive
enrapt,Positive
enrapture,Positive
enraptured,Positive
enrich,Positive
enrichment,Positive
enterprising,Positive
entertain,Positive
entertaining,Positive
entertains,Positive
enthral,Positive
enthrall,Positive
enthralled,Positive
enthuse,Positive
enthusiasm,Positive
enthusiast,Positive
enthusiastic,Positive
enthusiastically,Positive
entice,Positive
enticed,Positive
enticing,Positive
enticingly,Positive
entranced,Positive
entrancing,Positive
entrust,Positive
enviable,Positive
enviably,Positive
envious,Positive
enviously,Positive
enviousness,Positive
envy,Positive
equitable,Positive
ergonomical,Positive
erudite,Positive
ethical,Positive
eulogize,Positive
euphoria,Positive
euphoric,Positive
euphorically,Positive
evaluative,Positive
evenly,Positive
eventful,Positive
everlasting,Positive
evocative,Positive
exalt,Positive
exaltation,Positive
exalted,Positive
exaltedly,Positive
exalting,Positive
exaltingly,Positive
examplar,Positive
examplary,Positive
excallent,Positive
exceed,Positive
exceeded,Positive
exceeding,Positive
exceedingly,Positive
exceeds,Positive
excel,Positive
exceled,Positive
excelent,Positive
excellant,Positive
excelled,Positive
excellence,Positive
excellency,Positive
excellent,Positive
excellently,Positive
excels,Positive
exceptional,Positive
exceptionally,Positive
excite,Positive
excited,Positive
excitedly,Positive
excitedness,Positive
excitement,Positive
excites,Positive
exciting,Positive
excitingly,Positive
exellent,Positive
exemplar,Positive
exemplary,Positive
exhilarate,Positive
exhilarating,Positive
exhilaratingly,Positive
exhilaration,Positive
exonerate,Positive
expansive,Positive
expeditiously,Positive
expertly,Positive
exquisite,Positive
exquisitely,Positive
extol,Positive
extoll,Positive
extraordinarily,Positive
extraordinary,Positive
exuberance,Positive
exuberant,Positive
exuberantly,Positive
exult,Positive
exultant,Positive
exultation,Positive
exultingly,Positive
eyecatch,Positive
eyecatching,Positive
fabulous,Positive
fabulously,Positive
facilitate,Positive
fairly,Positive
fairness,Positive
faith,Positive
faithful,Positive
faithfully,Positive
faithfulness,Positive
fame,Positive
famed,Positive
famous,Positive
famously,Positive
fancier,Positive
fancinating,Positive
fancy,Positive
fanfare,Positive
fans,Positive
fantastic,Positive
fantastically,Positive
fascinate,Positive
fascinating,Positive
fascinatingly,Positive
fascination,Positive
fashionable,Positive
fashionably,Positive
fast,Positive
faster,Positive
fastest,Positive
faultless,Positive
fav,Positive
fave,Positive
favour,Positive
fearless,Positive
fearlessly,Positive
feasible,Positive
feasibly,Positive
feat,Positive
fecilitous,Positive
feisty,Positive
felicitate,Positive
felicitous,Positive
felicity,Positive
fertile,Positive
fervent,Positive
fervently,Positive
fervid,Positive
fervidly,Positive
fervor,Positive
festive,Positive
fidelity,Positive
fiery,Positive
fine,Positive
finely,Positive
finer,Positive
finest,Positive
firmer,Positive
flashy,Positive
flatter,Positive
flattering,Positive
flatteringly,Positive
flawless,Positive
flawlessly,Positive
flexibility,Positive
flexible,Positive
flourish,Positive
flourishing,Positive
fluent,Positive
flutter,Positive
fond,Positive
fondly,Positive
fondness,Positive
foolproof,Positive
foremost,Positive
foresight,Positive
formidable,Positive
fortitude,Positive
fortuitous,Positive
fortuitously,Positive
fortunate,Positive
fortunately,Positive
fortune,Positive
fragrant,Positive
free,Positive
freed,Positive
freedom,Positive
freedoms,Positive
fresh,Positive
fresher,Positive
freshest,Positive
friendliness,Positive
friendly,Positive
frolic,Positive
frugal,Positive
fruitful,Positive
ftw,Positive
fulfillment,Positive
fun,Positive
futurestic,Positive
futuristic,Positive
gaiety,Positive
gaily,Positive
gain,Positive
gained,Positive
gainful,Positive
gainfully,Positive
gaining,Positive
gains,Positive
gallant,Positive
gallantly,Positive
galore,Positive
geekier,Positive
geeky,Positive
gem,Positive
gems,Positive
generosity,Positive
generous,Positive
generously,Positive
genial,Positive
genius,Positive
gentle,Positive
gentlest,Positive
genuine,Positive
gifted,Positive
gladden,Positive
gladly,Positive
gladness,Positive
glamorous,Positive
glee,Positive
gleeful,Positive
gleefully,Positive
glimmer,Positive
glimmering,Positive
glisten,Positive
glistening,Positive
glitter,Positive
glitz,Positive
glorify,Positive
glorious,Positive
gloriously,Positive
glory,Positive
glow,Positive
glowing,Positive
glowingly,Positive
godlike,Positive
godsend,Positive
gold,Positive
golden,Positive
good,Positive
goodly,Positive
goodness,Positive
goodwill,Positive
goood,Positive
gooood,Positive
gorgeous,Positive
gorgeously,Positive
grace,Positive
graceful,Positive
gracefully,Positive
gracious,Positive
graciously,Positive
graciousness,Positive
grand,Positive
grandeur,Positive
grateful,Positive
gratefully,Positive
gratification,Positive
gratified,Positive
gratifies,Positive
gratify,Positive
gratifying,Positive
gratifyingly,Positive
gratitude,Positive
great,Positive
greatest,Positive
greatness,Positive
grin,Positive
groundbreaking,Positive
guarantee,Positive
guidance,Positive
guiltless,Positive
gumption,Positive
gush,Positive
gusto,Positive
gutsy,Positive
hail,Positive
halcyon,Positive
hale,Positive
hallmark,Positive
hallmarks,Positive
hallowed,Positive
handier,Positive
handily,Positive
handsome,Positive
handsomely,Positive
handy,Positive
happier,Positive
happily,Positive
happiness,Positive
happy,Positive
hardier,Positive
hardy,Positive
harmless,Positive
harmonious,Positive
harmoniously,Positive
harmonize,Positive
harmony,Positive
headway,Positive

abnormal,Negative
abolish,Negative
abominable,Negative
abominably,Negative
abominate,Negative
abomination,Negative
abort,Negative
aborted,Negative
aborts,Negative
abrade,Negative
abrasive,Negative
abrupt,Negative
abruptly,Negative
abscond,Negative
absence,Negative
absentee,Negative
absurd,Negative
absurdity,Negative
absurdly,Negative
absurdness,Negative
abuse,Negative
abused,Negative
abuses,Negative
abusive,Negative
abysmal,Negative
abysmally,Negative
abyss,Negative
accidental,Negative
accost,Negative
accursed,Negative
accusation,Negative
accusations,Negative
accuse,Negative
accuses,Negative
accusing,Negative
accusingly,Negative
acerbate,Negative
acerbic,Negative
acerbically,Negative
ache,Negative
ached,Negative
aches,Negative
achey,Negative
aching,Negative
acrid,Negative
acridly,Negative
acridness,Negative
acrimonious,Negative
acrimoniously,Negative
acrimony,Negative
adamant,Negative
adamantly,Negative
addict,Negative
addicted,Negative
addicting,Negative
addicts,Negative
admonish,Negative
admonisher,Negative
admonishingly,Negative
admonishment,Negative
admonition,Negative
adulterate,Negative
adulterated,Negative
adulteration,Negative
adulterier,Negative
adversarial,Negative
adversary,Negative
adverse,Negative
adversity,Negative
afflict,Negative
affliction,Negative
afflictive,Negative
affront,Negative
afraid,Negative
aggravate,Negative
aggravating,Negative
aggravation,Negative
aggression,Negative
aggressive,Negative
aggressiveness,Negative
aggressor,Negative
aggrieve,Negative
aggrieved,Negative
aggrivation,Negative
aghast,Negative
agonies,Negative
agonize,Negative
agonizing,Negative
agonizingly,Negative
agony,Negative
aground,Negative
ail,Negative
ailing,Negative
ailment,Negative
aimless,Negative
alarm,Negative
alarmed,Negative
alarming,Negative
alarmingly,Negative
alienate,Negative
alienated,Negative
alienation,Negative
allegation,Negative
allegations,Negative
allege,Negative
allergic,Negative
allergies,Negative
allergy,Negative
aloof,Negative
altercation,Negative
ambiguity,Negative
ambiguous,Negative
ambivalence,Negative
ambivalent,Negative
ambush,Negative
amiss,Negative
amputate,Negative
anarchism,Negative
anarchist,Negative
anarchistic,Negative
anarchy,Negative
anemic,Negative
anger,Negative
angrily,Negative
angriness,Negative
angry,Negative
anguish,Negative
animosity,Negative
annihilate,Negative
annihilation,Negative
annoy,Negative
annoyance,Negative
annoyances,Negative
annoyed,Negative
annoying,Negative
annoyingly,Negative
annoys,Negative
anomalous,Negative
anomaly,Negative
antagonism,Negative
antagonist,Negative
antagonistic,Negative
antagonize,Negative
antipathy,Negative
antiquated,Negative
antithetical,Negative
anxieties,Negative
anxiety,Negative
anxious,Negative
anxiously,Negative
anxiousness,Negative
apathetic,Negative
apathetically,Negative
apathy,Negative
apocalypse,Negative
apocalyptic,Negative
apologist,Negative
apologists,Negative
appal,Negative
appall,Negative
appalled,Negative
appalling,Negative
appallingly,Negative
apprehension,Negative
apprehensions,Negative
apprehensive,Negative
apprehensively,Negative
arbitrary,Negative
arcane,Negative
archaic,Negative
arduous,Negative
arduously,Negative
argumentative,Negative
arrogance,Negative
arrogant,Negative
arrogantly,Negative
ashamed,Negative
asinine,Negative
asininely,Negative
asinininity,Negative
askance,Negative
asperse,Negative
aspersion,Negative
aspersions,Negative
assail,Negative
assassin,Negative
assassinate,Negative
assault,Negative
assult,Negative
astray,Negative
asunder,Negative
atrocious,Negative
atrocities,Negative
atrocity,Negative
atrophy,Negative
attack,Negative
attacks,Negative
audacious,Negative
audaciously,Negative
audaciousness,Negative
audacity,Negative
audiciously,Negative
austere,Negative
authoritarian,Negative
autocrat,Negative
autocratic,Negative
avalanche,Negative
avarice,Negative
avaricious,Negative
avariciously,Negative
avenge,Negative
averse,Negative
aversion,Negative
aweful,Negative
awful,Negative
awfully,Negative
awfulness,Negative
awkward,Negative
awkwardness,Negative
ax,Negative
babble,Negative
backache,Negative
backaches,Negative
backaching,Negative
backbite,Negative
backbiting,Negative
backward,Negative
backwardness,Negative
backwood,Negative
backwoods,Negative
bad,Negative
badly,Negative
baffle,Negative
baffled,Negative
bafflement,Negative
baffling,Negative
bait,Negative
balk,Negative
banal,Negative
banalize,Negative
bane,Negative
banish,Negative
banishment,Negative
bankrupt,Negative
barbarian,Negative
barbaric,Negative
barbarically,Negative
barbarity,Negative
barbarous,Negative
barbarously,Negative
barren,Negative
baseless,Negative
bash,Negative
bashed,Negative
bashful,Negative
bashing,Negative
bastard,Negative
bastards,Negative
battered,Negative
battering,Negative
batty,Negative
bearish,Negative
beastly,Negative
bedlam,Negative
bedlamite,Negative
befoul,Negative
beg,Negative
beggar,Negative
beggarly,Negative
begging,Negative
beguile,Negative
belabor,Negative
belated,Negative
beleaguer,Negative
belie,Negative
belittle,Negative
belittled,Negative
belittling,Negative
bellicose,Negative
belligerence,Negative
belligerent,Negative
belligerently,Negative
bemoan,Negative
bemoaning,Negative
bemused,Negative
bent,Negative
berate,Negative
bereave,Negative
bereavement,Negative
bereft,Negative
berserk,Negative
beseech,Negative
beset,Negative
besiege,Negative
besmirch,Negative
bestial,Negative
betray,Negative
betrayal,Negative
betrayals,Negative
betrayer,Negative
betraying,Negative
betrays,Negative
bewail,Negative
beware,Negative
bewilder,Negative
bewildered,Negative
bewildering,Negative
bewilderingly,Negative
bewilderment,Negative
bewitch,Negative
bias,Negative
biased,Negative
biases,Negative
bicker,Negative
bickering,Negative
bigotries,Negative
bigotry,Negative
bitch,Negative
bitchy,Negative
biting,Negative
bitingly,Negative
bitter,Negative
bitterly,Negative
bitterness,Negative
bizarre,Negative
blab,Negative
blabber,Negative
blackmail,Negative
blah,Negative
blame,Negative
blameworthy,Negative
bland,Negative
blandish,Negative
blaspheme,Negative
blasphemous,Negative
blasphemy,Negative
blasted,Negative
blatant,Negative
blatantly,Negative
blather,Negative
bleak,Negative
bleakly,Negative
bleakness,Negative
bleed,Negative
bleeding,Negative
bleeds,Negative
blemish,Negative
blind,Negative
blinding,Negative
blindingly,Negative
blindside,Negative
blister,Negative
blistering,Negative
bloated,Negative
blockage,Negative
blockhead,Negative
bloodshed,Negative
bloodthirsty,Negative
bloody,Negative
blotchy,Negative
blow,Negative
blunder,Negative
blundering,Negative
blunders,Negative
blunt,Negative
blur,Negative
bluring,Negative
blurred,Negative
blurring,Negative
blurry,Negative
blurs,Negative
blurt,Negative
boastful,Negative
boggle,Negative
bogus,Negative
boil,Negative
boiling,Negative
boisterous,Negative
bomb,Negative
bombard,Negative
bombardment,Negative
bombastic,Negative
bondage,Negative
bonkers,Negative
bore,Negative
bored,Negative
boredom,Negative
bores,Negative
boring,Negative
botch,Negative
bother,Negative
bothered,Negative
bothering,Negative
bothers,Negative
bothersome,Negative
bowdlerize,Negative
boycott,Negative
braggart,Negative
bragger,Negative
brainless,Negative
brainwash,Negative
brash,Negative
brashly,Negative
brashness,Negative
brat,Negative
bravado,Negative
brazen,Negative
brazenly,Negative
brazenness,Negative
breach,Negative
break,Negative
breakdown,Negative
breaking,Negative
breaks,Negative
breakup,Negative
breakups,Negative
bribery,Negative
brimstone,Negative
bristle,Negative
brittle,Negative
broke,Negative
broken,Negative
brood,Negative
browbeat,Negative
bruise,Negative
bruised,Negative
bruises,Negative
bruising,Negative
brusque,Negative
brutal,Negative
brutalising,Negative
brutalities,Negative
brutality,Negative
brutalize,Negative
brutalizing,Negative
brutally,Negative
brute,Negative
brutish,Negative
bs,Negative
buckle,Negative
bug,Negative
bugging,Negative
buggy,Negative
bugs,Negative
bulkier,Negative
bulkiness,Negative
bulky,Negative
bullies,Negative
bullshit,Negative
bullshyt,Negative
bully,Negative
bullying,Negative
bullyingly,Negative
bum,Negative
bump,Negative
bumped,Negative
bumping,Negative
bumpping,Negative
bumps,Negative
bumpy,Negative
bungle,Negative
bungler,Negative
bungling,Negative
bunk,Negative
burden,Negative
burdensome,Negative
burdensomely,Negative
burn,Negative
burned,Negative
burning,Negative
burns,Negative
bust,Negative
busts,Negative
busybody,Negative
butcher,Negative
butchery,Negative
buzzing,Negative
byzantine,Negative
cackle,Negative
calamities,Negative
calamitous,Negative
calamitously,Negative
calamity,Negative
callous,Negative
calumniate,Negative
calumniation,Negative
calumnies,Negative
calumnious,Negative
calumniously,Negative
calumny,Negative
cancer,Negative
cancerous,Negative
cannibal,Negative
cannibalize,Negative
capitulate,Negative
capricious,Negative
capriciously,Negative
capriciousness,Negative
capsize,Negative
careless,Negative
carelessness,Negative
caricature,Negative
carnage,Negative
carp,Negative
cartoonish,Negative
castigate,Negative
castrated,Negative
casualty,Negative
cataclysm,Negative
cataclysmal,Negative
cataclysmic,Negative
cataclysmically,Negative
catastrophe,Negative
catastrophes,Negative
catastrophic,Negative
catastrophically,Negative
catastrophies,Negative
caustic,Negative
caustically,Negative
cautionary,Negative
cave,Negative
censure,Negative
chafe,Negative
chaff,Negative
chagrin,Negative
challenging,Negative
chaos,Negative
chaotic,Negative
chasten,Negative
chastise,Negative
chastisement,Negative
chatter,Negative
chatterbox,Negative
cheap,Negative
cheapen,Negative
cheaply,Negative
cheat,Negative
cheated,Negative
cheater,Negative
cheating,Negative
cheats,Negative
checkered,Negative
cheerless,Negative
cheesy,Negative
chide,Negative
childish,Negative
chill,Negative
chilly,Negative
chintzy,Negative
choke,Negative
choleric,Negative
choppy,Negative
chore,Negative
chronic,Negative
chunky,Negative
clamor,Negative
clamorous,Negative
clash,Negative
cliche,Negative
cliched,Negative
clique,Negative
clog,Negative
clogged,Negative
clogs,Negative
cloud,Negative
clouding,Negative
cloudy,Negative
clueless,Negative
clumsy,Negative
clunky,Negative
coarse,Negative
cocky,Negative
coerce,Negative
coercion,Negative
coercive,Negative
cold,Negative
coldly,Negative
collapse,Negative
collude,Negative
collusion,Negative
combative,Negative
combust,Negative
comical,Negative
commiserate,Negative
commonplace,Negative
commotion,Negative
commotions,Negative
complacent,Negative
complain,Negative
complained,Negative
complaining,Negative
complains,Negative
complaint,Negative
complaints,Negative
complex,Negative
complicated,Negative
complication,Negative
complicit,Negative
compulsion,Negative
compulsive,Negative
concede,Negative
conceded,Negative
conceit,Negative
conceited,Negative
concen,Negative
concens,Negative
concern,Negative
concerned,Negative
concerns,Negative
concession,Negative
concessions,Negative
condemn,Negative
condemnable,Negative
condemnation,Negative
condemned,Negative
condemns,Negative
condescend,Negative
condescending,Negative
condescendingly,Negative
condescension,Negative
confess,Negative
confession,Negative
confessions,Negative
confined,Negative
conflict,Negative
conflicted,Negative
conflicting,Negative
conflicts,Negative
confound,Negative
confounded,Negative
confounding,Negative
confront,Negative
confrontation,Negative
confrontational,Negative
confuse,Negative
confused,Negative
confuses,Negative
confusing,Negative
confusion,Negative
confusions,Negative
congested,Negative
congestion,Negative
cons,Negative
conscons,Negative
conservative,Negative
conspicuous,Negative
conspicuously,Negative
conspiracies,Negative
conspiracy,Negative
conspirator,Negative
conspiratorial,Negative
conspire,Negative
consternation,Negative
contagious,Negative
contaminate,Negative
contaminated,Negative
contaminates,Negative
contaminating,Negative
contamination,Negative
contempt,Negative
contemptible,Negative
contemptuous,Negative
contemptuously,Negative
contend,Negative
contention,Negative
contentious,Negative
contort,Negative
contortions,Negative
contradict,Negative
contradiction,Negative
contradictory,Negative
contrariness,Negative
contravene,Negative
contrive,Negative
contrived,Negative
controversial,Negative
controversy,Negative
convoluted,Negative
corrode,Negative
corrosion,Negative
corrosions,Negative
corrosive,Negative
corrupt,Negative
corrupted,Negative
corrupting,Negative
corruption,Negative
corrupts,Negative
corruptted,Negative
costlier,Negative
costly,Negative
coupists,Negative
covetous,Negative
coward,Negative
cowardly,Negative
crabby,Negative
crack,Negative
cracked,Negative
cracks,Negative
craftily,Negative
craftly,Negative
crafty,Negative
cramp,Negative
cramped,Negative
cramping,Negative
cranky,Negative
crap,Negative
crappy,Negative
craps,Negative
crash,Negative
crashed,Negative
crashes,Negative
crashing,Negative
crass,Negative
craven,Negative
cravenly,Negative
craze,Negative
crazily,Negative
craziness,Negative
crazy,Negative
creak,Negative
creaking,Negative
creaks,Negative
credulous,Negative
creep,Negative
creeping,Negative
creeps,Negative
creepy,Negative
crept,Negative
crime,Negative
criminal,Negative
cringe,Negative
cringed,Negative
cringes,Negative
cripple,Negative
crippled,Negative
cripples,Negative
crippling,Negative
crisis,Negative
critic,Negative
critical,Negative
criticism,Negative
criticisms,Negative
criticize,Negative
criticized,Negative
criticizing,Negative
critics,Negative
cronyism,Negative
crook,Negative
crooked,Negative
crooks,Negative
crowded,Negative
crowdedness,Negative
crude,Negative
cruel,Negative
crueler,Negative
cruelest,Negative
cruelly,Negative
cruelness,Negative
cruelties,Negative
cruelty,Negative
crumble,Negative
crumbling,Negative
crummy,Negative
crumple,Negative
crumpled,Negative
crumples,Negative
crush,Negative
crushed,Negative
crushing,Negative
cry,Negative
culpable,Negative
culprit,Negative
cumbersome,Negative
cunt,Negative
cunts,Negative
cuplrit,Negative
curse,Negative
cursed,Negative
curses,Negative
curt,Negative
cuss,Negative
cussed,Negative
cutthroat,Negative
cynical,Negative
cynicism,Negative
d,Negative
damage,Negative
damaged,Negative
damages,Negative
damaging,Negative
damn,Negative
damnable,Negative
damnably,Negative
damnation,Negative
damned,Negative
damning,Negative
damper,Negative
danger,Negative
dangerous,Negative
dangerousness,Negative
dark,Negative
darken,Negative
darkened,Negative
darker,Negative
darkness,Negative
dastard,Negative
dastardly,Negative
daunt,Negative
daunting,Negative
dauntingly,Negative
dawdle,Negative
daze,Negative
dazed,Negative
dead,Negative
deadbeat,Negative
deadlock,Negative
deadly,Negative
deadweight,Negative
deaf,Negative
dearth,Negative
death,Negative
debacle,Negative
debase,Negative
debasement,Negative
debaser,Negative
debatable,Negative
debauch,Negative
debaucher,Negative
debauchery,Negative
debilitate,Negative
debilitating,Negative
debility,Negative
debt,Negative
debts,Negative
decadence,Negative
decadent,Negative
decay,Negative
decayed,Negative
deceit,Negative
deceitful,Negative
deceitfully,Negative
deceitfulness,Negative
deceive,Negative
deceiver,Negative
deceivers,Negative
deceiving,Negative
deception,Negative
deceptive,Negative
deceptively,Negative
declaim,Negative
decline,Negative
declines,Negative
declining,Negative
decrement,Negative
decrepit,Negative
decrepitude,Negative
decry,Negative
defamation,Negative
defamations,Negative
defamatory,Negative
defame,Negative
defect,Negative
defective,Negative
defects,Negative
defensive,Negative
defiance,Negative
defiant,Negative
defiantly,Negative
deficiencies,Negative
deficiency,Negative
deficient,Negative
defile,Negative
defiler,Negative
deform,Negative
deformed,Negative
defrauding,Negative
defunct,Negative
defy,Negative
degenerate,Negative
degenerately,Negative
degeneration,Negative
degradation,Negative
degrade,Negative

ros,Positive
rost,Positive
akklamation,Positive
accomplishment,Positive
præcis,Positive
nøjagtigt,Positive
opnåelig,Positive
præstation,Positive
præstationer,Positive
justerbar,Positive
beundring,Positive
beundre,Positive
beundrer,Positive
beundringsværdig,Positive
beundre,Positive
beundrede,Positive
adorer,Positive
beundrende,Positive
adorere,Positive
værdsættende,Positive
passende,Positive
godkendelse,Positive
godkende,Positive
forsikringer,Positive
forsikre,Positive
assurately,Positive
forbløffe,Positive
forbavset,Positive
forbløffende,Positive
forbløffende,Positive
bedre,Positive
beutifully,Positive
ulastelig,Positive
velsigne,Positive
fejret,Positive
fejring,Positive
festlig,Positive
mester,Positive
klarere,Positive
klart,Positive
klarer,Positive
klog,Positive
cleverly,Positive
tillid,Positive
selvsikker,Positive
sympatisk,Positive
lykønske,Positive
lykønskning,Positive
tillykke,Positive
lykønskende,Positive
anstændighed,Positive
anstændig,Positive
beslutsom,Positive
beslutningsdygtighed,Positive
engageret,Positive
oprigtigt,Positive
seriøsitet,Positive
lethed,Positive
eased,Positive
eases,Positive
easiest,Positive
easiness,Positive
easing,Positive
easy,Positive
easygoing,Positive
ebullience,Positive
ebullient,Positive
ebulliently,Positive
ecenomisk,Positive
økonomisk,Positive
ecstasies,Positive
ekstase,Positive
ekstatisk,Positive
ecstatically,Positive
opbygge,Positive
effektivitet,Positive
effektfuld,Positive
effektiv,Positive
effektiv,Positive
effektivt,Positive
ubesværet,Positive
ubesværet,Positive
effusion,Positive
udstrømmende,Positive
udstrømmende,Positive
effusivitet,Positive
elan,Positive
elate,Positive
elateret,Positive
elatedly,Positive
elektrificere,Positive
elegance,Positive
elegant,Positive
elegant,Positive
ophøje,Positive
elite,Positive
veltalenhed,Positive
veltalende,Positive
veltalende,Positive
opmuntrer,Positive
eminent,Positive
indleve,Positive
empati,Positive
empower,Positive
empowerment,Positive
fortryller,Positive
enchanted,Positive
fortryllende,Positive
encourage,Positive
opmuntring,Positive
opmuntrende,Positive
opmuntrende,Positive
indynde,Positive
endorsed,Positive
endorsement,Positive
endorses,Positive
endorsing,Positive
energisk,Positive
energize,Positive
engagerende,Positive
opslugende,Positive
forbedre,Positive
forbedret,Positive
forstærkning,Positive
forbedrer,Positive
nyde,Positive
enjoyable,Positive
enjoyably,Positive
nød,Positive
nyder,Positive
nyde,Positive
nyder,Positive
oplyse,Positive
oplysning,Positive
oplive,Positive
forædle,Positive
nok,Positive
forføre,Positive
henrykkelse,Positive
fortryllet,Positive
berige,Positive
berigelse,Positive
enterprising,Positive
underholde,Positive
underholdende,Positive
underholder,Positive
begejstre,Positive
enthrall,Positive
enthralled,Positive
enthuse,Positive
entusiasme,Positive
entusiast,Positive
entusiastisk,Positive
entusiastisk,Positive
lokke,Positive
lokket,Positive
